timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-01-10 00:00:00,137.73000000,137.98000000,137.60000000,137.64000000,5085.18940000,1578616199999,700823.32263480,2328,3417.37747000,470982.30931890,0
2020-01-10 00:30:00,137.63000000,137.68000000,137.05000000,137.16000000,4624.33459000,1578617999999,634805.70119790,2072,2552.69910000,350424.64414450,0
2020-01-10 01:00:00,137.17000000,137.42000000,136.84000000,136.91000000,2869.37376000,1578619799999,393489.46964170,1947,1634.72623000,224194.54157590,0
2020-01-10 01:30:00,136.92000000,137.07000000,136.72000000,136.90000000,2781.83043000,1578621599999,380791.41997020,1855,1698.23983000,232474.60927060,0
2020-01-10 02:00:00,136.91000000,137.18000000,136.67000000,137.15000000,4184.35055000,1578623399999,573120.73958530,1902,2771.27269000,379586.41475390,0
2020-01-10 02:30:00,137.16000000,137.16000000,136.42000000,136.54000000,3543.56052000,1578625199999,484262.82424530,2053,1962.17548000,268153.72945800,0
2020-01-10 03:00:00,136.55000000,136.97000000,136.40000000,136.84000000,5351.41723000,1578626999999,731726.41396740,2684,2892.97114000,395599.59454460,0
2020-01-10 03:30:00,136.86000000,136.98000000,136.32000000,136.98000000,2853.54851000,1578628799999,389866.30447080,1846,1297.72921000,177305.85258220,0
2020-01-10 04:00:00,136.99000000,137.14000000,136.22000000,136.38000000,3640.40117000,1578630599999,497650.93910350,1922,1937.91532000,265066.87931970,0
2020-01-10 04:30:00,136.38000000,136.58000000,136.02000000,136.40000000,4603.92951000,1578632399999,627627.76791520,2310,2256.05240000,307594.75397590,0
2020-01-10 05:00:00,136.37000000,136.47000000,136.13000000,136.20000000,4249.12879000,1578634199999,579096.68666290,1680,1818.92742000,247881.36558710,0
2020-01-10 05:30:00,136.24000000,136.24000000,135.32000000,135.78000000,6924.64746000,1578635999999,940530.75000320,3056,3107.39529000,422012.15407290,0
2020-01-10 06:00:00,135.81000000,136.23000000,135.69000000,136.20000000,5143.93850000,1578637799999,699382.23342960,2162,2717.65320000,369499.29771730,0
2020-01-10 06:30:00,136.21000000,136.73000000,136.07000000,136.62000000,8158.77805000,1578639599999,1112973.18787980,4024,5423.68657000,739793.48141530,0
2020-01-10 07:00:00,136.60000000,136.68000000,136.17000000,136.48000000,3555.10100000,1578641399999,484951.78982290,2115,2296.33109000,313236.85853270,0
2020-01-10 07:30:00,136.48000000,136.66000000,136.26000000,136.63000000,3121.49305000,1578643199999,425874.43783340,1715,1859.98180000,253761.57206300,0
2020-01-10 08:00:00,136.62000000,136.64000000,135.49000000,135.80000000,6226.70921000,1578644999999,846897.32804900,2680,2710.60670000,368601.48627400,0
2020-01-10 08:30:00,135.83000000,136.06000000,135.56000000,136.06000000,4488.20657000,1578646799999,609548.33225550,2324,2157.88185000,293150.67874520,0
2020-01-10 09:00:00,136.06000000,136.40000000,135.79000000,136.32000000,7343.86798000,1578648599999,999608.03193040,2510,4854.40353000,660614.97947130,0
2020-01-10 09:30:00,136.33000000,136.40000000,135.92000000,136.02000000,3799.29761000,1578650399999,517204.56639870,2239,1900.55871000,258735.61761090,0
2020-01-10 10:00:00,136.04000000,136.60000000,135.34000000,136.39000000,9969.25433000,1578652199999,1355425.97204380,3678,4859.98567000,660947.94266470,0
2020-01-10 10:30:00,136.38000000,136.82000000,136.01000000,136.82000000,6913.27661000,1578653999999,942581.21704310,3207,3189.71401000,434976.43756620,0
2020-01-10 11:00:00,136.82000000,138.49000000,136.77000000,138.10000000,17939.73153000,1578655799999,2470923.62090550,5914,10156.09674000,1398837.13256300,0
2020-01-10 11:30:00,138.10000000,139.03000000,137.75000000,138.43000000,13803.47696000,1578657599999,1909902.95831120,5528,6817.08358000,943369.06720260,0
2020-01-10 12:00:00,138.42000000,138.76000000,138.05000000,138.38000000,6392.45041000,1578659399999,885139.76534330,2853,2548.83275000,352890.09056610,0
2020-01-10 12:30:00,138.42000000,139.88000000,138.37000000,139.86000000,12520.66699000,1578661199999,1743336.96307880,5004,6620.01375000,922046.68145300,0
2020-01-10 13:00:00,139.83000000,139.92000000,139.04000000,139.65000000,6448.83799000,1578662999999,900188.85116240,3158,3398.46614000,474508.55418350,0
2020-01-10 13:30:00,139.64000000,139.95000000,138.70000000,138.78000000,9917.96583000,1578664799999,1383044.64814670,4253,4720.55397000,658435.00105930,0
2020-01-10 14:00:00,138.76000000,139.78000000,138.65000000,139.33000000,7643.31439000,1578666599999,1064151.75337180,3616,3824.97296000,532576.29747930,0
2020-01-10 14:30:00,139.32000000,140.29000000,139.19000000,140.22000000,14415.76888000,1578668399999,2013990.53189630,4860,8752.48891000,1222749.04526940,0
2020-01-10 15:00:00,140.24000000,143.00000000,139.84000000,141.85000000,28772.56049000,1578670199999,4067594.57389620,9147,14450.65084000,2043263.86442880,0
2020-01-10 15:30:00,141.81000000,142.92000000,141.28000000,142.51000000,13654.60633000,1578671999999,1938542.98622170,4992,7104.60252000,1008747.42975510,0
2020-01-10 16:00:00,142.53000000,143.62000000,141.02000000,141.69000000,31553.29771000,1578673799999,4485171.71609560,10042,15689.59959000,2229971.84538450,0
2020-01-10 16:30:00,141.69000000,142.35000000,140.75000000,141.10000000,11664.81159000,1578675599999,1651090.26462280,4588,6096.18793000,862961.48544660,0
2020-01-10 17:00:00,141.10000000,141.45000000,140.62000000,141.44000000,11555.24370000,1578677399999,1629698.05489050,3782,5712.19137000,805533.69324130,0
2020-01-10 17:30:00,141.40000000,142.04000000,140.80000000,141.99000000,6112.11631000,1578679199999,863857.64711900,3269,2866.12116000,405255.51454470,0
2020-01-10 18:00:00,141.98000000,145.17000000,141.98000000,144.19000000,31380.29836000,1578680999999,4514052.79242670,9659,17055.73729000,2452825.42306790,0
2020-01-10 18:30:00,144.20000000,144.35000000,142.38000000,142.64000000,13188.13337000,1578682799999,1892043.03340240,4637,6347.88128000,910016.30178440,0
2020-01-10 19:00:00,142.64000000,144.70000000,142.40000000,142.97000000,14170.16711000,1578684599999,2033277.32706280,5955,7761.33661000,1113381.56376250,0
2020-01-10 19:30:00,142.93000000,144.09000000,142.88000000,143.42000000,8581.88003000,1578686399999,1230869.74723880,3480,4624.71263000,663341.09920650,0
2020-01-10 20:00:00,143.42000000,144.04000000,143.22000000,143.89000000,6341.51038000,1578688199999,911264.16015450,2853,2426.52394000,348621.95890160,0
2020-01-10 20:30:00,143.91000000,143.98000000,143.06000000,143.21000000,4484.28990000,1578689999999,643027.08760500,2503,2025.87022000,290480.99778950,0
2020-01-10 21:00:00,143.19000000,143.84000000,142.85000000,143.46000000,4762.80181000,1578691799999,682499.96363380,2491,2430.66902000,348305.37606100,0
2020-01-10 21:30:00,143.47000000,143.90000000,142.64000000,142.88000000,5711.62909000,1578693599999,817473.42109880,2758,2138.98019000,306416.41141880,0
2020-01-10 22:00:00,142.89000000,143.10000000,141.60000000,142.49000000,4510.51623000,1578695399999,641675.52118480,2801,2036.15098000,289713.65138060,0
2020-01-10 22:30:00,142.49000000,143.06000000,142.39000000,142.88000000,2221.70836000,1578697199999,316993.95521400,1627,971.39453000,138623.07815610,0
2020-01-10 23:00:00,142.92000000,143.50000000,142.63000000,143.50000000,2184.73721000,1578698999999,312572.75115610,1348,1133.92762000,162243.29913480,0
2020-01-10 23:30:00,143.47000000,145.00000000,142.94000000,144.84000000,10039.43928000,1578700799999,1446902.03135830,3886,5366.07370000,773625.72699690,0
2020-01-11 00:00:00,144.83000000,144.90000000,143.24000000,143.26000000,8945.01475000,1578702599999,1288609.99188370,3397,3173.59755000,457083.90436800,0
2020-01-11 00:30:00,143.30000000,144.14000000,143.26000000,143.55000000,5868.46019000,1578704399999,842811.43353270,2935,2592.10318000,372439.40126040,0
2020-01-11 01:00:00,143.56000000,145.27000000,143.51000000,145.07000000,16144.13083000,1578706199999,2338490.51252770,4874,10488.18614000,1519712.87056040,0
2020-01-11 01:30:00,145.10000000,145.33000000,143.87000000,144.14000000,7769.50848000,1578707999999,1122895.79399880,3546,4078.41124000,589483.91312840,0
2020-01-11 02:00:00,144.15000000,144.50000000,143.32000000,144.04000000,6235.05305000,1578709799999,897609.51907860,3114,3226.28004000,464565.52991450,0
2020-01-11 02:30:00,144.05000000,144.06000000,143.37000000,143.85000000,5949.53908000,1578711599999,855214.61105620,2475,2040.65914000,293264.08689190,0
2020-01-11 03:00:00,143.84000000,143.87000000,143.01000000,143.22000000,4344.51457000,1578713399999,622507.26330380,2341,2190.36119000,313812.64302660,0
2020-01-11 03:30:00,143.18000000,143.85000000,142.80000000,143.47000000,5349.61844000,1578715199999,766213.68213470,3017,2328.78879000,333595.50573660,0
2020-01-11 04:00:00,143.47000000,144.05000000,142.82000000,142.88000000,3948.42120000,1578716999999,566080.96754570,2297,1549.71734000,222314.02346770,0
2020-01-11 04:30:00,142.88000000,143.59000000,142.84000000,143.20000000,2973.38662000,1578718799999,426028.57465540,2019,1797.48864000,257578.00853380,0
2020-01-11 05:00:00,143.20000000,143.20000000,142.20000000,142.40000000,5626.13047000,1578720599999,802149.54424980,2686,2262.21701000,322614.67558230,0
2020-01-11 05:30:00,142.39000000,143.01000000,142.28000000,142.89000000,2936.24446000,1578722399999,418861.02380410,2056,1190.66753000,169839.96821690,0
2020-01-11 06:00:00,142.90000000,143.03000000,142.09000000,142.84000000,5364.77520000,1578724199999,764438.05947140,2190,2307.18505000,328814.67266180,0
